"source","target","flow","weight"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/kategorie/640298864-mit-chefkoch-um-die-welt","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/kategorie/640299100-rikes-backschule","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/kategorie/640298438-hack-n-roll","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/kategorie/640298897-brot-backen-mit-lutz-geisler","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/kategorie/612957128-kochvideos","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/artikel/82253795246727-weisse-bolognese-von-cettina-vicenzino","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/artikel/190864802640280-buttermilch-chicken-burger","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/artikel/619621244-vegetarische-wan-tans-mit-sommergemuese","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/forum/3,0/aktuelle-beitraege.html","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/forum/#kochforen","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/forum/#plaudereckeforen","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/forum/#backforen","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/forum/#lifestyleforen","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/forum/#sonstige_kochforen","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/forum/","INTERNAL_LINK","1"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/groups/","INTERNAL_LINK","1"
