"page","incoming_links","outgoing_links","hub_score"
"https://www.chefkoch.de/rezepte/4439881785078370/Beeren-Streuselkuchen.html","1",,"1"
"https://www.chefkoch.de/rezepte/4439901785079678/Sossenschmieds-Butter-Chicken-fuer-den-Slow-Cooker.html","1",,"1"
"https://www.chefkoch.de/rezepte/4439741784980558/Tiramisu-Baellchen-mit-Nutellafuellung.html","1",,"1"
"https://www.chefkoch.de/rezepte/4439721784973061/Leinoelbutter-streichzart.html","1",,"1"
"https://www.chefkoch.de/rezepte/4439731784976193/Sauce-nach-Bolognese-Art-mit-Sonnenblumen-Hack.html","1",,"1"
"../../forum/3%2c0/aktuelle-beitraege.html","1",,"1"
"../../magazin/artikel/619621244-vegetarische-wan-tans-mit-sommergemuese.html","1",,"1"
"../../magazin/artikel/190864802640280-buttermilch-chicken-burger.html","1",,"1"
"../../forum/index.html#backforen","1",,"1"
"../../forum/index.html#plaudereckeforen","1",,"1"
"../../forum/index.html#kochforen","1",,"1"
"../../magazin/kategorie/640299100-rikes-backschule.html","1",,"1"
"../../magazin/kategorie/640298864-mit-chefkoch-um-die-welt.html","1",,"1"
"../../magazin/kategorie/616305661-probier-was-neues.html","1",,"1"
"../../magazin/artikel/82253795246727-weisse-bolognese-von-cettina-vicenzino.html","1",,"1"
"../../magazin/kategorie/640298897-brot-backen-mit-lutz-geisler.html","1",,"1"
"../../magazin/kategorie/640298438-hack-n-roll.html","1",,"1"
"../../datenschutz.html#openPrivacyManager","1",,"1"
"../../datenschutz.html","1",,"1"
"../../impressum.html#dsa-hint","1",,"1"
"../../newsletter/index0715.html?adid=001-00003","1",,"1"
"../../werben-bei-chefkoch.html","1",,"1"
"../../barrierefreiheit.html","1",,"1"
"../../groups/index.html","1",,"1"
"../../forum/index.html#sonstige_kochforen","1",,"1"
"../../forum/index.html#lifestyleforen","1",,"1"
"../../agb/index.html","1",,"1"
"../../impressum.html","1",,"1"
"../../jobs-bei-chefkoch.html","1",,"1"
"../../magazin/kategorie/636241302-shared-table.html","1",,"1"
"../../rs/s0r4.5/Rezepte.html","1",,"1"
"../../rezeptempfehlungen/index.html","1",,"1"
"../../rezeptsammlungen/index.html","1",,"1"
"../../rs/s0o6/Rezepte.html","1",,"1"
"../../rs/s0ip1/Rezepte.html","1",,"1"
"../../rs/s0t49%2c50r4p30/Schnell-Einfach-Rezepte.html","1",,"1"
"../thema-des-monats.html","1",,"1"
"../index.html","1",,"1"
"../../benutzer/einloggenf734.html?context=login/init","1",,"1"
"../../chefkoch-abo/index3616.html?ck_source=header&amp;ck_element=header_CTA","1",,"1"
"../../plus8fc6.html?ck_element=header_link","1",,"1"
"../../plus-rezepte-aus-magazinen.html","1",,"1"
"../../magazin/artikel/74072128715894-unsere-neuesten-produkt-lieblinge.html","1",,"1"
"../../vergleich/index.html","1",,"1"
"../../magazin/kategorie/612955611-ernaehrung.html","1",,"1"
"../../magazin/inspiration/gesunde-ernaehrung.html","1",,"1"
"../../fackelmann.html","1",,"1"
"../../magazin/inspiration/grillen-themenwelt.html","1",,"1"
"../../magazin/kategorie/612964779-sommerkueche.html","1",,"1"
"../../magazin/kategorie/612938993-alltagskueche.html","1",,"1"
"../../magazin/kategorie/68865953156104-highlights-der-redaktion.html","1",,"1"
"../../magazin/kategorie/612938991-backen.html","1",,"1"
"../../magazin/kategorie/612949438-internationale-kueche.html","1",,"1"
"../../magazin/kategorie/612957051-vegetarisch-und-vegan.html","1",,"1"
"https://www.chefkoch.de/magazin/artikel/624209231-die-besten-nudelsalate-vielfalt-pur-1","1",,"1"
"https://www.chefkoch.de/magazin/artikel/178907094517281-chefkoch-nachrichten-service","1",,"1"
"https://www.chefkoch.de/magazin/artikel/665091590-der-kohlrabi-deutsche-knolle-mit-frischem-aroma-1","1",,"1"
"https://kochkurse.chefkoch.de/","1",,"1"
"https://listening.sslsurvey.de/C360S-chefkoch/?WEBSITE=1","1",,"1"
"https://plus.chefkoch.de/rezept-import/","1",,"1"
"https://www.chefkoch.de/magazin/artikel/198386131511788-wir-suchen-eure-liebsten-urlaubsrezepte","1",,"1"
"https://www.chefkoch.de/groups/","1",,"1"
"https://www.chefkoch.de/forum/#sonstige_kochforen","1",,"1"
"https://www.chefkoch.de/forum/#lifestyleforen","1",,"1"
"https://www.chefkoch.de/magazin/artikel/185900961701150-aprikosenkuchen-und-co-saftiges-gebaeck-mit-aprikosen","1",,"1"
"https://www.chefkoch.de/magazin/artikel/669814998-spaghetti-in-schinken-sahne-sauce-1","1",,"1"
"https://www.chefkoch.de/magazin/artikel/81560056566184-salat-im-glas-praktisch-und-lecker","1",,"1"
"https://www.chefkoch.de/magazin/artikel/196190633850443-medisterkaker-norwegische-frikadellen-3","1",,"1"
"https://www.chefkoch.de/magazin/artikel/196176537892322-pasta-alla-genovese-3","1",,"1"
"https://www.chefkoch.de/magazin/artikel/201547813096546-general-tsos-chicken-1","1",,"1"
"https://www.chefkoch.de/magazin/artikel/181742070137589-insalata-di-fagioli-e-tonno-1","1",,"1"
"https://www.chefkoch.de/magazin/artikel/185209554369299-zarangollo-murciano-2","1",,"1"
"https://www.chefkoch.de/magazin/artikel/186244654935934-blaetterteigschnecken-mit-lachs-1","1",,"1"
"https://www.chefkoch.de/magazin/artikel/148094549499794-haehnchenpfanne-mit-zucchini-und-zuckerschoten","1",,"1"
"https://www.chefkoch.de/rezepte/461681139252228/Schnelle-Pasta-mit-Karotten-Ingwer-und-Pinienkernen.html","1",,"1"
"https://www.chefkoch.de/rezepte/1469461251728268/Toeginger-Kaesepfannkuchen.html","1",,"1"
"https://www.chefkoch.de/rezepte/1687021276962431/Russische-Sommersuppe.html","1",,"1"
"https://www.chefkoch.de/magazin/artikel/202591504527766-lauch-haehnchen-pasta-1","1",,"1"
"https://www.chefkoch.de/magazin/artikel/201220340986530-die-leckersten-pesto-rezepte-jenseits-von-pasta-1","1",,"1"
"https://www.chefkoch.de/magazin/artikel/151327089587967-palatschinken-einfaches-grundrezept-1","1",,"1"
"https://www.chefkoch.de/forum/#backforen","1",,"1"
"https://www.chefkoch.de/rs/s0ip1/Rezepte.html","1",,"1"
"https://www.chefkoch.de/rs/s0t49,50r4p30/Schnell-Einfach-Rezepte.html","1",,"1"
"https://www.chefkoch.de/rs/s0r4.5/Rezepte.html","1",,"1"
"https://www.chefkoch.de/magazin/artikel/74072128715894-unsere-neuesten-produkt-lieblinge","1",,"1"
"https://www.chefkoch.de/vergleich/","1",,"1"
"https://www.chefkoch.de/magazin/kategorie/612964779-sommerkueche","1",,"1"
"https://www.chefkoch.de/chefkoch-abo/?ck_source=header&amp;ck_element=header_CTA","1",,"1"
"https://www.chefkoch.de/kochstars","1",,"1"
"https://www.chefkoch.de/benutzer/einloggen?context=login/init","1",,"1"
"https://www.chefkoch.de/","1",,"1"
"https://www.chefkoch.de/plus?ck_element=header_link","1",,"1"
"https://www.chefkoch.de/plus-rezepte-aus-magazinen","1",,"1"
"https://www.chefkoch.de/kochstars/thema-des-monats","1",,"1"
"https://www.chefkoch.de/magazin/artikel/619621244-vegetarische-wan-tans-mit-sommergemuese","1",,"1"
"https://www.chefkoch.de/magazin/artikel/190864802640280-buttermilch-chicken-burger","1",,"1"
"https://www.chefkoch.de/magazin/artikel/82253795246727-weisse-bolognese-von-cettina-vicenzino","1",,"1"
"https://www.chefkoch.de/forum/#plaudereckeforen","1",,"1"
"https://www.chefkoch.de/forum/#kochforen","1",,"1"
"https://www.chefkoch.de/forum/3,0/aktuelle-beitraege.html","1",,"1"
"https://www.chefkoch.de/magazin/kategorie/640298897-brot-backen-mit-lutz-geisler","1",,"1"
"https://www.chefkoch.de/magazin/kategorie/616305661-probier-was-neues","1",,"1"
"https://www.chefkoch.de/magazin/kategorie/636241302-shared-table","1",,"1"
"https://www.chefkoch.de/fackelmann","1",,"1"
"https://www.chefkoch.de/magazin/kategorie/640298438-hack-n-roll","1",,"1"
"https://www.chefkoch.de/magazin/kategorie/640299100-rikes-backschule","1",,"1"
"https://www.chefkoch.de/magazin/kategorie/640298864-mit-chefkoch-um-die-welt","1",,"1"
"https://www.chefkoch.de/rs/s0/kohlrabi/Rezepte.html","1",,"1"
"https://www.chefkoch.de/rs/s0/pflaumenkuchen/Rezepte.html","1",,"1"
"https://www.chefkoch.de/rs/s0/gazpacho/Rezepte.html","1",,"1"
"https://www.chefkoch.de/wochenplaner/?ck_source=homepage&amp;ck_element=homepage_sub_lead","1",,"1"
"https://www.chefkoch.de/magazin/artikel/64929782351659-7-tage-7-rezepte-fuer-den-chefkoch-plus-wochenplaner","1",,"1"
"https://www.chefkoch.de/rs/s0/sommer/Rezepte.html","1",,"1"
"https://www.chefkoch.de/rs/s0/mirabellen/Rezepte.html","1",,"1"
"https://www.chefkoch.de/rs/s0/tortellinisalat/Rezepte.html","1",,"1"
"https://www.chefkoch.de/rs/s0/wraps/Rezepte.html","1",,"1"
"https://www.chefkoch.de/rs/s0/reissalat/Rezepte.html","1",,"1"
"https://www.chefkoch.de/rs/s0/bruschetta/Rezepte.html","1",,"1"
"https://www.chefkoch.de/rs/s0/zucchinikuchen/Rezepte.html","1",,"1"
"https://www.chefkoch.de/rs/s0/kÃ¼rbis/Rezepte.html","1",,"1"
"https://www.chefkoch.de/rezepte/1639971271583788/Ratatouille.html","1",,"1"
"https://www.chefkoch.de/rezepte/1149311221218672/Tagliatelle-mit-Pfifferling-und-Sahnesauce.html","1",,"1"
"https://www.chefkoch.de/rezepte/2382601377622138/Mirabellenmarmelade.html","1",,"1"
"https://www.chefkoch.de/rezepte/2478381390118576/Mango-Gefluegelsalat.html","1",,"1"
"https://www.chefkoch.de/rezepte/2371941376313825/Veganer-Zwetschgenkuchen-mit-Zimtstreuseln.html","1",,"1"
"https://www.chefkoch.de/rezepte/1115971217685846/Zwetschgenkuchen.html","1",,"1"
"https://www.chefkoch.de/rezepte/4148901660849051/Brombeer-Essig.html","1",,"1"
"https://www.chefkoch.de/rezepte/1782151288102765/Weltbeste-Pfirsichmarmelade-Nachtischmarmelade.html","1",,"1"
"https://www.chefkoch.de/profile/3af15045df2c9e159f0059192cdcdfe4","1",,"1"
"https://www.chefkoch.de/plus","1",,"1"
"https://www.chefkoch.de/rezepte/2942971446566339/Bester-und-leckerster-Zwetschgenkuchen-mit-Streuseln.html","1",,"1"
"https://www.chefkoch.de/rezepte/1843321298641267/Bohnen-einkochen.html","1",,"1"
"https://www.chefkoch.de/rezepte/4381761750757495/Alt-Willicher-Rinderbraten-mit-Portweinjus-an-Prinzessbohnen-und-Spiralkartoffeln.html","1",,"1"
