"page","incoming_links","outgoing_links","authority_score"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","0","214","214"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\kochstars\thema-des-monats\märz-2023.html","0","83","83"
